community_cards|hand|hand_result_1|hand_result_2|execution_time
AD,4H,5S,2C,9H|5H,9S|3|7,3,12|0.0019989013671875
QC,3H,TC,8D,KD|9C,9S|2|7,11,10,8|0.0010004043579101562
